2019-08-30 22:11:56 INFO  ClientApplication:103 - Parse command line arguments successfully
2019-08-30 22:12:07 INFO  ClientDataStrategy:64 - Pack user request successfully
2019-08-30 22:12:07 INFO  ClientApplication:111 - Send request to server successfully
2019-08-30 22:12:07 INFO  ClientApplication:118 - Recieve reponse from server successfully
2019-08-30 22:12:07 INFO  ClientDataStrategy:89 - Resolve server response successfully
2019-08-30 22:12:12 INFO  ClientDataStrategy:64 - Pack user request successfully
2019-08-30 22:12:12 INFO  ClientApplication:111 - Send request to server successfully
2019-08-30 22:12:12 INFO  ClientApplication:118 - Recieve reponse from server successfully
2019-08-30 22:12:12 INFO  ClientDataStrategy:89 - Resolve server response successfully
2019-08-30 22:12:18 INFO  ClientDataStrategy:64 - Pack user request successfully
2019-08-30 22:12:18 INFO  ClientApplication:111 - Send request to server successfully
2019-08-30 22:12:18 INFO  ClientApplication:118 - Recieve reponse from server successfully
2019-08-30 22:12:18 INFO  ClientDataStrategy:89 - Resolve server response successfully
2019-08-30 22:12:58 INFO  ClientDataStrategy:64 - Pack user request successfully
2019-08-30 22:12:58 INFO  ClientApplication:111 - Send request to server successfully
2019-08-30 22:12:58 INFO  ClientApplication:118 - Recieve reponse from server successfully
2019-08-30 22:12:58 INFO  ClientDataStrategy:89 - Resolve server response successfully
2019-08-30 22:13:03 INFO  ClientDataStrategy:64 - Pack user request successfully
2019-08-30 22:13:03 INFO  ClientApplication:111 - Send request to server successfully
2019-08-30 22:13:03 INFO  ClientApplication:118 - Recieve reponse from server successfully
2019-08-30 22:13:03 INFO  ClientDataStrategy:89 - Resolve server response successfully
2019-08-30 22:13:24 INFO  ClientApplication:111 - Send request to server successfully
2019-08-30 22:13:24 INFO  ClientAppFacade:56 - User exit client program
